﻿name,lyric
以後要做的事,還沒走到最後 請別低著頭沿途撿的夢 是否有些不安和迷惑有些應該緊握 有些該放手會隱隱作痛 走過才是真實的自我別逃避我們以後要做的事情多些幻想少一些 猶豫的途徑路不該是疑問句 要比誰都清晰時間從來不為誰暫停了前進就像愛從來不曾會風平浪靜未來就會揭謎底 命運捧在我手心還沒走到最後 請別低著頭沿途撿的夢 是否有些不安和迷惑有些應該緊握 有些該放手會隱隱作痛 走過才是真實的自我  在  別逃避我們以後要做的事情多些幻想少一些 猶豫的途徑路不該是疑問句 要比誰都清晰時間從來不為誰暫停了前進就像愛從來不曾會風平浪靜未來就會揭謎底 命運捧在我手心或許會不知所措 痛過才浮現彩虹越純粹就越感動 我一抬頭 是最初的天空別逃避我們以後要做的事情多些幻想少一些 猶豫的途徑路不該是疑問句 要比誰都清晰時間從來不為誰暫停了前進就像愛從來不曾會風平浪靜未來就會揭謎底 命運捧在我手心
你要的不是我,怎麼能忘 時間多長你快樂嗎 想代替你回答你知道嗎 走了好遠我才能去面對這份牽掛 沉默傷悲你要的不是我心碎的失去輪廓曾經給你的感動  在  只是情緒的波動能給的不是我放任你沉溺自由掩飾不了我的笨拙就連說話都會顫抖我被遺忘在 你遺忘的角落
你，有沒有過,都什麼時候了浪潮退下了你還坐在這等 天氣或心情缺一都不可拖拖拉拉勇氣不見了風 摀住了耳朵撲通撲通不普通聽聽心跳聲有一天 世界會斑駁回憶成為所有每段故事都值得煩惱留啊留啊留會留成愁不被看好的青春叫做成長考驗躲啊躲啊躲也躲不過我的眼淚流過心碎的時刻你有沒有過你 有沒有過奮不顧身 飛蛾撲火都 什麼時候了  在  夜 色安靜了你還坐在這夢是 另一個星球我獨居在裡頭 跌跌撞撞懷疑自己你 伸出的雙手安靜擁抱我都會過去的最 洶湧的折磨天亮前找到了是現在的你我煩惱留啊留啊留會留成愁不被看好的青春叫做成長考驗躲啊躲啊躲也躲不過我的眼淚流過心碎的時刻煩惱留啊留 啊留會留成愁不被看好的青春叫做成長考驗躲啊躲啊躲也躲不過我的眼淚流過心碎的時刻你有沒有過
保護色(Protective Colors)(&張韶涵),眼角 是我靈魂的缺角 是愛情的保護罩不想變糟糕 就讓世界都顛倒藏起 華麗的羽毛 收起 驕傲的棱角愛你 我穿上迷彩 也偽裝 我的微笑(Rap)：Angela's back with a new grooveIf ya don't know what it iscall yourself a NOOBand JJ's makin' it soundcall yourself a NOOBa little Indian'ishCatch a glimpse of what it isJJ's R&B!要你看到 善變代表對你太感冒要你聽到 我有我的獨特思考要你看到 愛情不只華麗的外表揚起嘴角 永遠猜不到的下一秒就像變色龍異想的世界可以隨心情 換上外套可以偽裝起來 開你玩笑  在  Oh~Oh~Oh~這是我的新指標你害怕就走掉 我不討好要你看到 善變代表對你太感冒要你聽到 我有我的獨特思考要你看到 愛情不只華麗的外表揚起嘴角 永遠猜不到的下一秒(Rap)：ㄟ 唱回自己 歌真棒但 不知原唱 的人怎麼想嘿 來啦來啦 Angela Come onＪ 我一不在 你就自ＨＩＧＨＪ 我若不在 開ＰＡ 怎麼好玩嘿 朋友一起 Fun 才會爽快在這裡 在那裡 I will watch your back要你看到 善變代表對你太感冒要你聽到 我有我的獨特思考要你看到 愛情不只華麗的外表揚起嘴角 永遠猜不到的下一秒要你看到 善變代表對你太感冒要你聽到 我有我的獨特思考要你看到 愛情不只華麗的外表揚起嘴角 永遠猜不到的下一秒 
信心旅行(&何耀珊),收拾我所有的行李搭乘末班希望班機和信心一起旅行這次要學習不逃避揮別我所有的恐懼勇敢地走下去幸福在這一瞬間(慢慢累積)山谷百合正開放(不用嘆息)
修煉愛情,憑什麼要失望 藏眼淚到心臟往事不會說謊別跟它為難我們兩人之間不需要這樣我想修煉愛情的心酸 學會放好以前的渴望我們那些信仰 要忘記多難遠距離的欣賞 近距離的迷惘誰說太陽會找到月亮別人有的愛 我們不可能模仿修煉愛情的悲歡 我們這些努力不簡單快樂煉成淚水 是一種勇敢幾年前的幻想 幾年後的原諒為一張臉去養一身傷別講想念我 我會受不了這樣記憶它真囂張 路燈把痛點亮情人一起看過多少次月亮他在天空看過多少次遺忘多少心慌修煉愛情的心酸 學會放好以前的渴望我們那些信仰 要忘記多難  在  遠距離的欣賞 近距離的迷惘誰說太陽會找到月亮別人有的愛 我們不可能模仿修煉愛情的悲歡 我們這些努力不簡單快樂煉成淚水 是一種勇敢幾年前的幻想 幾年後的原諒為一張臉去養一身傷別講想念我 我會受不了這樣 OH~~~~~笑著說愛讓人瘋狂哭著說愛讓人緊張忘不了那個人就投降 OH~~~修煉愛情的悲歡 我們這些努力不簡單快樂煉成淚水 是一種勇敢 OH~~幾年前的幻想 幾年後的原諒為一張臉去養一身傷別講想念我 我會受不了這樣幾年前的幻想 幾年後的原諒為一張臉去養一身傷別講想念我 我會受不了這樣
偉大的渺小,一朵玫瑰被刺圍繞 也許它也渴望擁抱海豚臉上總有微笑 也許淚被大海洗掉是不讓人知道 你我幸福或難熬好或糟 藏進外表的孤傲其實我想要 一種美夢睡不著 一種心臟的狂跳瓦解界線不被撂倒 奔跑 依靠我心中最想要 看你看過的浪潮 陪你放肆地年少從你眼神能找到 解藥宇宙一絲一毫 偉大並非湊巧我 握的手握好 我 或許很渺小也絕不逃夜晚星辰高調閃耀 也許是最後的燃燒候鳥能自由飛得高 也許是流浪的符號可是誰又知道 你我曾有過煎熬  在  把客套 捍衛僅有的驕傲其實我想要 一種美夢睡不著 一種心臟的狂跳瓦解界線不被撂倒 奔跑 依靠我心中最想要 看你看過的浪潮 陪你放肆地年少從你眼神能找到 解藥宇宙一絲一毫 偉大並非湊巧我 握的手握好 我 或許很渺小那之前我要 抱你在逆流人潮 懂你每個淚和笑從你故事中找到 美妙 努力不會徒勞愛並非湊巧 我們握的手握好我們就算很渺小 也絕不逃握的手握好 我有多渺小也做得到
全面開戰(& 林志穎),不是一夥 不會懂 這節奏不用多說 你出手 就有我最佳助攻 像你的 左右手一票難求 那還用說世界握在 你手中 像煙火燦爛的關鍵 是放手一搏Clash of Clans Oh～第一輪猛攻Clash of Clans Oh～我做你拳頭Clash of Clans Oh～誰打不還手Clash of Clans Oh～絕不會是我全面開戰 全面開戰造一個夢 用熱血 用戰鬥逐步踏上 生命的 最高峰兄弟出手 就知道 有沒有你加入我 最強的部落世界握在 你手中 像煙火  在  燦爛的關鍵 是放手一搏Clash of Clans Oh～又一輪猛攻Clash of Clans Oh～我做你拳頭Clash of Clans Oh～誰打不還手Clash of Clans Oh～絕不會是我全面開戰 全面開戰像遊戲 卻充滿生命一句話 化成灰也願意是兄弟 沒有在客氣你乾杯 我ALL IN當敵人高唱著勝利逆轉勝 會更美麗當戰場 永無止境就由我們自己決定 yeahClash of Clans Oh～再一輪猛攻Clash of Clans Oh～我做你拳頭Clash of Clans Oh～深植腦海中Clash of Clans Oh～復仇的前奏Clash of Clans～Clash of Clans  
凍結,不小心回到那一天　不小心一切又重演你如此完美的一切　竟會出現在我的世界你說話不愛說第二遍　但偏在情人節那一夜給　我你心愛的項鍊　說了三次對我的愛戀我那時糊塗　不明白為何你會哭後知後覺以後　領悟＊凍結那時間　凍結初遇那一天　凍結那愛戀　凍結吻你那瞬間　我也會疲倦　你的項鍊　在我身邊　帶我穿梭回從前　凍結那空間　凍結有你的世界  在  　凍結那畫面　凍結不讓它溶解　我若是疲倦　你的項鍊　在我身邊　發光在我胸前　你的項鍊　在我身邊　陪伴著我過每一天Repeat all onceYeah~Repeat ＊你的項鍊　在我身邊　發光在我胸前你的項鍊　在我身邊　陪伴著我過每一天
剪雲者,孤單看天上那朵雲呢 銀灰色它安靜的俯瞰著我失散的愛它飄浮著呢 旅行著想飛開但又依依不捨魔術般的 定在那兒 特別神秘的剪一片雲拽著 紀念曾珍惜的就此遠去了 但是心還懸著剪一片雲愛著我喜歡獨自記得成為一個收藏者偶而懷念她 也不錯天空的嘆息沒有顏色 狠心的鑽進了我的心喊我記憶很麻煩也很苦澀 丟下呢雲沒有名字像個孤兒看似快樂 流浪慣了 這麼說它真的真的不負責  在  剪一片雲拽著 紀念曾珍惜的就此遠去了 但是心還懸著剪一片雲愛著我喜歡獨自記得成為一個收藏者偶而懷念她剪一片雲拽著 紀念曾珍惜的就此遠去了 但是心還懸著剪一片雲愛著我喜歡獨自記得成為一個收藏者偶而懷念她 也不錯以前深愛的 現在呢剪下的雲呢 隱形了
加油,不管自己來自哪裡,我覺得,我在這裡要獻給大家這一首..額..特別的歌曲,因為這首歌呢,是我特別寫來為大家加油的一首歌,也是我今天的最後一首歌曲,謝謝大家來到這裡.<加油!>送給大家.ye-yi-ye-yi-yeah~~wu-wo-wu-wo-wu-wo~~最近你好嗎 少了一點微笑說的話有點少 yeah~oh~最近我也不好 全世界都在逆轉人開始反向思考發現你愛的人到處跑昨晚剛升職 今天被炒莫名其妙 誰會知道是不是上天開的玩笑地震時 你想和誰擁抱什麼是生命中的美好輕易放掉 卻不知道幸福就在下一個轉角說一聲加油 一切更美好所有的悲傷 請往邊靠曾經流過的淚濕了傷口就讓 陽光曬乾而褪這一種加油 人人都需要手牽手 我們一起賽跑說好不見不散 每分每秒守候你到老 yeah~The beat goes on 時間它一直走就像是Life goes on 這過程或許痛不管順流或逆流 你總得抬起頭讓我們一起走 讓我們一起走 走過艱難和困惑發現你愛的人到處跑昨晚剛升職 今天被炒  在  莫名其妙 誰會知道是不是上天開的玩笑地震時 你想和誰擁抱什麼是生命中的美好輕易放掉 卻不知道幸福就在下一個轉角 wo~~hey~wu~說一聲加油 一切更美好所有的悲傷 請往邊靠曾經流過的淚濕了傷口就讓 陽光曬乾而褪這一種加油 人人都需要手牽手我們一起賽跑說好不見不散 每分每秒守候你到老 yeah~關關是難關 但我們關關過雨後天晴的陽光在天空閃閃爍出現了彩虹 忽然間我們才懂如果這是一場馬拉松 那我們一起加油wo~~yeah~~~~讓我們一起加油~~~~wo~~~~Come On~wu~~~~這一種加油 人人都需要手牽手我們一起賽跑說好不見不散 每分每秒守候你到老 wo~~~~wu~~~~JJ:謝謝!謝謝你們來到JJ Party!嗚~!我愛你們!Thank you!下次見!拜拜!-The End- 
十秒的衝動,狹小的廚房 擁擠的沙發竟然能在你走後 變這麼空蕩夢被竊取的每個晚上醒著在往事裡面流浪情緒太滿我跟黑夜講話可是沒有誰安慰回答否認不了I miss you十秒的衝動 讓幸福開頭但最後的衝動 讓感情遠走被回憶淹沒忙碌的背後 失神的凝望窗外的一朵浮雲 迷失了方向  在  對於愛情有著太多想像才會怪對方讓人失望否認不了 I miss you十秒的衝動 讓幸福開頭但最後的衝動 讓感情遠走被回憶淹沒愛恨常常為了同樣一個理由熱戀時候喜歡情濃 不愛了就嫌沉重抵抗不了 I miss you最初的衝動會召喚笑容但最後的衝動 無法再回頭只剩下疼痛
原來,爾/林秋街燈絆住我眼前 下一步拉長的影子 嘲弄的回顧電話亭仍留著你的話一句話 掉一滴淚今晚的我 會是如何入睡原來最疼痛的表情 竟是沒有情緒原來最殘忍的畫面 可以甜言蜜語我不懂得如何更愛你影子諷刺地 跟著我難分難離原來最孤單的是 我還是那麼想你原來最悲哀的是 我不能面對自己你 收的乾淨我也會 不留一點痕跡說故事也要像是真的可是 別觸動那些回憶今夜你說了最後一句一句話 掉一滴淚看來今晚的我 很難入睡  在  原來最疼痛的表情 竟是沒有情緒原來最殘忍的畫面 可以甜言蜜語我不懂得如何更愛你影子諷刺地 跟著我難分難離原來最孤單的是 我還是那麼想你原來最悲哀的是 我不能面對自己你 收的乾淨我也會 不留一點痕跡原來最疼痛的表情 竟是沒有情緒原來最殘忍的畫面 可以甜言蜜語我不懂得如何更愛你影子諷刺地 跟我 難分難離原來最孤單的是 我還是那麼想你原來最悲哀的是 我不能面對自己你 收的乾淨我也會 不留一點痕跡
友人說(&懷秋),比情歌更動聽 當你聽到有人說比感冒更流行 誰和誰的友人說全世界都相信 但每一張嘴都說 不是我全都不是我 千萬別告訴別人 喔喔喔秘密只說給你聽 勾勾手有人說 對或錯誰的曖昧又對號入座 yeah~一句問候就被想太多 yeah~順道變成 溫馨的接送禮貌被當成溫柔就這樣傳遍了耳朵比情歌更動聽 當你聽到有人說比感冒更流行 誰和誰的友人說全世界都相信 但每一張嘴都說 不是我全都不是我 千萬別告訴別人 喔喔喔秘密只說給你聽 勾勾手有人說 對或錯什麼時候有這個朋友 Hello~和你分享虛擬的傳說RAP:  在  你說他說誰說 說太多我看不懂好像撲朔迷離的小說 oh其實歷史課本都說 戰爭都是對方的錯 對或錯比情歌更動聽 當你聽到有人說比感冒更流行 誰和誰的友人說全世界都相信 但每一張嘴都說 不是我全都不是我 千萬別告訴別人 喔喔喔秘密只說給你聽 勾勾手有人說 對或錯比情歌更動聽 當你聽到有人說比感冒更流行 OH~YEAH全世界都相信 但每一張嘴都說 不是我全都不是我 千萬別告訴別人 喔喔喔秘密只說給你聽 勾勾手有人說 都怪我RAP:你說他說誰說 他說你說我說我說她說他說 他說你說我說我說他說誰說 誰說你說我說管他誰說的 聽我們的
只對你有感覺(Feel For You),無解的眼神　心像海底針光是猜測　我食慾不振有點煩人　又有點迷人浪漫沒天份　反應夠遲鈍不夠謹慎　花挑錯顏色但很矛盾　喜歡你的笨微笑　再美　再甜　不是妳的　都不特別眼淚　再苦　再鹹　有你安慰　又是晴天靠的　再近　再貼　少了擁抱　就算太遠全世界只對你(妳)有感覺玩的　再瘋　再野　妳瞪一眼　我就收斂馬路　再寬　再遠　只要你牽　就很安全我會　又乖　又黏　溫柔體貼　絕不敷衍我只對你(妳)有感覺我只對你(妳)有感覺體貼卻黏人　愛哭卻溫順有時天真　有時很邪惡對妳耍狠　就是捨不得請吸收養分　讓腦袋平衡  在  要你現身　動作慢吞吞怎麼承認　我非你不可微笑　再美　再甜　不是妳的　都不特別眼淚　再苦　再鹹　有你安慰　又是晴天靠的　再近　再貼　少了擁抱　就算太遠全世界只對你(妳)有感覺玩的　再瘋　再野　妳瞪一眼　我就收斂馬路　再寬　再遠　只要你牽　就很安全我會　又乖　又黏　溫柔體貼　絕不敷衍我只對你(妳)有感覺我只對你(妳)有感覺微笑　再美　再甜　不是妳的　都不特別眼淚　再苦　再鹹　有你安慰　又是晴天靠的　再近　再貼　少了擁抱　就算太遠全世界只對你(妳)有感覺玩的　再瘋　再野　妳瞪一眼　我就收斂馬路　再寬　再遠　只要你牽　就很安全我會　又乖　又黏　溫柔體貼　絕不敷衍我只對你(妳)有感覺我只對你(妳)有感覺
只對你說,站在寂寞的舞台上燈光下拖著自己的 影子音樂重複我們共同 的憂傷不是每一次的演唱就可以淡忘明天沒有你In my heart we'll never be apart＃殘留手上的香味提醒我　在數位相機裡留下的承諾　每一封簡訊傳出的思念　都對你說△사랑해요　means I love you　代表著我　離不開你　每分每秒　每一個聲音　只有你撒嬌　會讓我微笑　사랑해요　只對你說  在  　I'll love you and forevermore　我答應　baby you will see　每一個我都屬於你　yeah~Repeat ＃,△사랑해요　means I love you代表著我　離不開你每分每秒　每一個聲音只有你撒嬌　會讓我微笑사랑해요　只對你說I'll love you and forevermore我答應　baby you will see每一個我都屬於你(Oh~ baby I will love youBecause　我都屬於你　yeah~)
只要有你的地方,你是我肩膀堅定的力量聽不到你的迴響 還真說不出晚安懶洋洋 因為互相在依傍時間怎麼過去 有你也不會冤枉為誰辛苦為誰忙 只為了和你分享只要你的淚光 照耀著我胸膛只要我的生命 你肯讓我安放不管外面風雨有多煩亂 日子過得再緊張我的情緒 你的表情 就能釋放只要在你目光 看得見的地方我會永遠記住 要活得更堅強要是人生難免有遺憾有你在身旁 已經是最好的補償你是我身影流浪的方向汗水找到你的臉 世態炎涼也無妨  在  我抬頭 看你像看到月亮你低頭 會不會想我 像思念故鄉為誰辛苦為誰忙 眼中有對方不慌不忙只要你的淚光 照耀著我胸膛只要我的生命 你肯讓我安放不管外面風雨有多煩亂 過的日子多緊張我的情緒 你的表情我們再不用隱瞞 卸下武裝只要在你目光 看得見的地方我會永遠記住 要活得更堅強要是人生難免有遺憾有你在身旁 試問我們還想怎樣艱苦又怎樣有你的地方 人生就不需要什麼答案
可惜沒如果,假如把犯得起的錯 能錯的都錯過應該還來得及去悔過假如沒把一切說破那一場小風波 將一笑帶過在感情面前 講什麼自我要得過且過 才好過全都怪我不該沉默時沉默 該勇敢時軟弱如果不是我 誤會自己灑脫 讓我們難過可當初的你 和現在的我 假如重來過倘若那天把該說的話好好說 該體諒的不執著如果那天我 不受情緒挑撥 你會怎麼做那麼多如果 可能如果我可惜沒如果 只剩下結果如果早點了解 那率性的你或者晚一點 遇上成熟的我不過 oh  在  全都怪我不該沉默時沉默 該勇敢時軟弱如果不是我 誤會自己灑脫 讓我們難過可當初的你 和現在的我 假如重來過倘若那天把該說的話好好說 該體諒的不執著如果那天我 不受情緒挑撥 你會怎麼做那麼多如果 可能如果我可惜沒如果 沒有你和我都怪我不該沉默時沉默 該勇敢時軟弱如果不是我 誤會自己灑脫 讓我們難過可當初的你 和現在的我 假如重來過倘若那天把該說的話好好說 該體諒的不執著如果那天我 不受情緒挑撥 你會怎麼做那麼多如果 可能如果我可惜沒如果 只剩下結果可惜沒如果
單挑, I was like wow! Surpruse me!(FAMA) You know, you weren't like this a long time ago. 你以前沒有這麼厲害!(JJ) 真的嗎?(FAMA) Yeah.(JJ) Well, it's a good sign!(FAMA) Yeah, but 還是不夠屌 though...(JJ) 什麼?(FAMA) 還是...還是不夠屌!  在  (JJ) 還是不夠屌?(FAMA) Yeah!(JJ) 怎樣才算屌?(FAMA) 等你到比我屌的時候才算屌!(JJ) 等比你屌才算屌?(JJ) 那我現在就可以比你屌(FAMA) What? You trippin'? You serious?(FAMA) Alright fine, let's battle!(FAMA) 我們來battle一場，好久沒有battle了!(JJ) Really? You wanna battle?(FAMA) Yeah! Show me what you got!(JJ) Watch me. 
四點四十四,四點四十四靈魂蒸發理智掉了漆還在粉刷意識潛意識到底誰在說話 對白交錯沒有文法追尋真理或安於現狀選擇墨菲斯哪顆藥丸紅藍的抉擇何必掙扎 我色盲只能裝傻想安靜卻靜不下來 夜色精彩 醉人徘徊祂的輪廓記不起來 油門一踩留下的黑白只為世人難以忘懷這是什麼現象對 是前所未見亂象別說我在想像快 將我從崖上推下反射的我被鏡子拘押他說他認輸想要回家右腦吵左腦誰是真假 矛與盾爭鋒沒有時差心裡這場雨傾盆而下撐傘是否算活在當下哪片草坪被任意踐踏 蹲下一看 我在腳下抓著神智醒不過來 過分期待 是我活該精疲力竭喊破聲帶 只能放開  在  重力加速度 路人只看精彩我憤世但我 說不出來我不想這樣這是什麼現象對 是前所未見亂象別說我在想像快 將我從崖上推下還有多久 才過四點四十四拿起手機 電源剩四十四抬頭 紅燈 也剩下四十四幾月 幾號 四月四十四是 不是不是 四 不四不四視 不視不視 四 不四不四識 不識不識 四 不四不四試 不試不試 四 不四不四不四不四是 不是不是 四 不四不四視 不視不視 四 不四不四識 不識不識 四 不四不四試 不試不試 是 不三不四
因你而在,我為你心跳 我為你祈禱因為愛讓我們能遇到因為你開始燃燒 痛才慢慢治療我要和你擁抱 牽你的手一起去奔跑你存在的這一秒 會不會是我依靠給我的微笑 全都記在腦海了變成快樂的符號節奏在跳躍 這是戀愛的預兆挑動我每一個細胞天亮才睡覺 讓我思緒都顛倒這次我不想放掉防備全關掉 只許你無理取鬧慢慢走進你的步調心也一層一層被你融掉一天一天為你開竅一秒一秒想你的微笑我為你心跳 我為你祈禱因為愛讓我們能遇到因為你開始燃燒 痛才慢慢治療我要和你擁抱 牽你的手一起去奔跑你存在的這一秒 會不會是我依靠  在  給我的微笑 全都記在腦海了變成快樂的符號節奏在跳躍 這是戀愛的預兆挑動我每一個細胞天亮才睡覺 讓我思緒都顛倒這次我不想放掉防備全關掉 只許你無理取鬧慢慢走進你的步調心也一層一層被你融掉一天一天為你開竅 一秒一秒想你的微笑我為你心跳 我為你祈禱因為愛讓我們能遇到因為你開始燃燒 痛才慢慢治療我要和你擁抱 牽你的手一起去奔跑你存在的這一秒 會不會是我依靠Baby you're my one and only yeah~you and meBaby you're my one and only yeah~you and meBaby you're my one and only yeah~you and meBaby you're my one and only yeah~you and me[ti:因你而在][ar:][al:因你而在 Stories Untold][by:Dolin陳冬霖]
壓力,剛它偷偷摸摸　混進了人類群中　話沒有多說　打開了門的鎖我們的生活　忙得我們都不懂　我們的軟弱　怎麼說　怎麼做　它全都已識破＃人啊那麼多　為什麼選上我　虛空與失落　你一一都給我　到底誰的錯　我選你你選我　血管就要破　請你請你饒我＊黑暗的角落　誰都不會很清楚　它為了什麼　一直在咬耳朵　當工作一多　它就在背後　等時機成熟　親愛的　不用說　它已對你下手  在  Repeat ＃　＊人啊那麼多　為什麼選上我　虛空與失落　你一一都給我到底誰的錯　我選你你選我　血管就要破　請你請你△這世界遼闊　求你別來煩我　原來的生活　都慢慢被你逼迫　到底誰的錯　我選你你選我　血管就要破　請你請你饒我Repeat △
大男人小女孩,不是我的錯　我們都聽過完美的時候　要更多　吵架時又說得太多有時候的我　只想和你一樣沉默不想當那囉囉唆唆 水也滅不掉的火也許大男人 真的很難忍(沒那麼男人)  在  少了點風度還是不承認有時候錯的並不知道錯的不想藉口只是直接一點說有時候女孩沒那麼小孩心裡的無奈也需要點關懷遺憾的已都變成勉強了　怎麼能重新再來
天使心,看妳在鬧　看妳在笑　看妳的眼淚在掉　聽妳深夜裡的祈禱　看妳在忙　看你偷懶　看妳對天空吶喊　聽妳說妳很煩＃我可以飛　我不會累　我擦過妳的眼淚　妳卻從來沒見過我　我發著光　白色的光　曾掠過妳的臉龐　我懂妳的心事　只因為我是妳的Angel△當妳碰到任何困難　我會守在一旁　帶妳越過每一座山　世界總有光明黑暗　至少有我做伴　就讓我陪妳到天亮  在  　人心冷漠讓妳絕望　妳有我在身旁　不用到處尋找希望Repeat ＊,＃,△,△我這裡是安全地帶　配合妳生活節拍　別懷疑有我的存在妳閉上眼臨睡以前　我就會在妳耳邊　拿走妳的心事Baby 我是妳的 Angel
女兒家,女兒家　怎麼樣　要怎麼穿　要怎麼想　你來管女兒家　怎麼樣　就是愛打扮　司空見慣女兒家　怎麼樣　要怎麼穿　要怎麼想　你來管女兒家　怎麼樣　愛變化無常　就是爽＊女兒家　怎麼樣　要怎麼穿　要怎麼想　你來管　女兒家　怎麼樣　就是愛打扮　司空見慣  在  　女兒家　怎麼樣　要怎麼穿　要怎麼想　你來管　女兒家　怎麼樣　沒那麼簡單你說你說　要愛我　有沒有任何線索＃甜蜜的話　可愛的傻　不是每天都要通電話　要見我也要給我一對翅膀　有時浪漫　有空冷戰　你想我時我已在夢鄉　我愛你愛我也可以變得好玩Repeat ＊,＃　＃
她說(She Says),他靜悄悄地來過 他慢慢帶走沉默只是最後的承諾 還是沒有帶走了寂寞我們愛的沒有錯 只是美麗的獨秀太折磨她說無所謂只要能在夜裡翻來覆去的時候有寄託等不到天黑 煙火不會太完美回憶燒成灰 還是等不到結尾她曾說的無所謂 我怕一天一天被摧毀等不到天黑 不敢凋謝的花蕾綠葉在跟隨 放開刺痛的滋味今後不再怕天明 我想只是害怕清醒他靜悄悄地來過 他慢慢帶走沉默只是最後的承諾 還是沒有帶走了寂寞我們愛的沒有錯 只是美麗的獨秀太折磨她說無所謂只要能在夜裡翻來覆去的時候有寄託  在  等不到天黑 煙火不會太完美回憶燒成灰 還是等不到結尾她曾說的無所謂 我怕一天一天被摧毀等不到天黑 不敢凋謝的花蕾綠葉在跟隨 放開刺痛的滋味今後不再怕天明 我想只是害怕清醒等不到天黑 煙火不會太完美回憶燒成灰 還是等不到結尾她曾說的無所謂 我怕一天一天被摧毀等不到天黑 不敢凋謝的花蕾綠葉在跟隨 放開刺痛的滋味今後不再怕天明 我想只是害怕清醒不怕天明 我想只是害怕清醒
她說,她靜悄悄地來過 她慢慢帶走沉默只是最後的承諾 還是沒有帶走了寂寞我們愛的沒有錯 只是美麗的獨秀太折磨她說無所謂 只要能在夜裡翻來覆去的時候有寄託等不到天黑 煙火不會太完美回憶燒成灰 還是等不到結尾她曾說的無所謂 我怕一天一天被摧毀等不到天黑 不敢凋謝的花蕾綠葉在跟隨 放開刺痛的滋味今後不再怕天明 我想只是害怕清醒她靜悄悄地來過 她慢慢帶走沉默只是最後的承諾 還是沒有帶走了寂寞我們愛的沒有錯 只是美麗的獨秀太折磨她說無所謂 只要能在夜裡翻來覆去的時候有寄託等不到天黑 煙火不會太完美  在  回憶燒成灰 還是等不到結尾她曾說的無所謂 我怕一天一天被摧毀等不到天黑 不敢凋謝的花蕾綠葉在跟隨 放開刺痛的滋味今後不再怕天明 我想只是害怕清醒等不到天黑 煙火不會太完美回憶燒成灰 還是等不到結尾她曾說的無所謂 我怕一天一天被摧毀等不到天黑 不敢凋謝的花蕾綠葉在跟隨 放開刺痛的滋味今後不再怕天明 我想只是害怕清醒不怕天明 我想只是害怕清醒
好心情,一見你就有好心情 不用暖身就會開心 因為眼睛耳朵都有了默契你知道我有多麼瞭解你有你就有好心情 像夏天吃著冰淇淋 因為想法感受都有了感應每個眼神都變成了動力如果世界是一片汪洋森林 我選擇和你同一棵樹棲息不用懷疑 我就是那麼在乎你如果愛情會讓人脆弱無力 朋友卻可以讓人恢復元氣不用懷疑 你就是有這種魔力我知道 是上天安排我們在這時刻相遇在一起我們都被祝福 常常有好心情一見你就有好心情 不用暖身就會開心 因為眼睛耳朵都有了默契你知道我有多麼瞭解你有你就有好心情 像夏天吃著冰淇淋 因為想法感受都有了感應每個眼神都變成了動力如果愛情會讓人脆弱無力 朋友卻可以讓人恢復元氣  在  不用懷疑 你就是有這種魔力我知道 是上天安排我們在這時刻相遇在一起我們都被祝福 常常有好心情一見你就有好心情 不用暖身就會開心 因為眼睛耳朵都有了默契你知道我有多麼瞭解你有你就有好心情 像夏天吃著冰淇淋 因為想法感受都有了感應每個眼神都變成了動力我知道 是上天安排我們在這時刻相遇在一起我們都被祝福 常常有好心情一見你就有好心情 像礦泉水清涼在心溶化太多太多的情感交集 不是三言兩語可以言喻有你就有好心情 像夏天吃著冰淇淋因為想法感受都有了感應 每個眼神都變成了動力一見你就有好心情 像礦泉水清涼在心溶化太多太多的情感交集 不是三言兩語可以言喻有你就有好心情 像夏天吃著冰淇淋因為想法感受都有了感應 每個眼神都變成了動力
